"","Tree","Repetition","Sample","pvalue_ecology","pvalue_clade","variance_trait","pvalue_trend"
"253","Latetree","3","horizontalneighbor","0.736","0.646","0.253091457434388","0"
"254","Latetree","4","full","0.744","0.394","0.303696950823647","0.999999999999877"
"255","Latetree","4","threequarter","0.862","0.456","0.303696950823647","0"
"256","Latetree","4","half","0.928","0.482","0.303696950823647","0"
"257","Latetree","4","positiveloss","0.828","0.494","0.303696950823647","0"
"258","Latetree","4","ecologyloss","0.854","0.416","0.303696950823647","0"
"259","Latetree","4","horizontal10","0.858","0.352","0.303696950823647","0"
"260","Latetree","4","horizontal10clade","0.756","0.366","0.303696950823647","0"
"261","Latetree","4","horizontal10ecology","0.834","0.374","0.303696950823647","0"
"262","Latetree","4","horizontalnodes","0.812","0.362","0.303696950823647","0.99999999996926"
"263","Latetree","4","horizontalnodesecology","0.84","0.39","0.303696950823647","0.999999995479291"
"264","Latetree","4","horizontalneighbor","0.84","0.41","0.303696950823647","0"
"265","Latetree","5","full","0.918","0.914","0.160047582760709","0.999999999999996"
"266","Latetree","5","threequarter","0.958","0.992","0.160047582760709","0"
"267","Latetree","5","half","0.924","0.922","0.160047582760709","0"
"268","Latetree","5","positiveloss","0.98","0.992","0.160047582760709","0"
"269","Latetree","5","ecologyloss","0.908","0.894","0.160047582760709","0"
"270","Latetree","5","horizontal10","0.996","0.984","0.160047582760709","0"
"271","Latetree","5","horizontal10clade","0.956","0.95","0.160047582760709","0"
"272","Latetree","5","horizontal10ecology","0.874","0.938","0.160047582760709","0"
"273","Latetree","5","horizontalnodes","0.922","0.852","0.160047582760709","0.999999999999997"
"274","Latetree","5","horizontalnodesecology","0.87","0.65","0.160047582760709","1"
"275","Latetree","5","horizontalneighbor","0.926","0.808","0.160047582760709","0"
"276","Latetree","6","full","0.574","0.794","0.318697807704325","1"
"277","Latetree","6","threequarter","0.648","0.828","0.318697807704325","0"
"278","Latetree","6","half","0.798","0.776","0.318697807704325","0"
"279","Latetree","6","positiveloss","0.764","0.946","0.318697807704325","0"
"280","Latetree","6","ecologyloss","0.632","0.928","0.318697807704325","0"
"281","Latetree","6","horizontal10","0.63","0.812","0.318697807704325","0"
"282","Latetree","6","horizontal10clade","0.628","0.798","0.318697807704325","0"
"283","Latetree","6","horizontal10ecology","0.518","0.804","0.318697807704325","0"
"284","Latetree","6","horizontalnodes","0.632","0.696","0.318697807704325","0.999986227010339"
"285","Latetree","6","horizontalnodesecology","0.678","0.568","0.318697807704325","0.999999999999978"
"286","Latetree","6","horizontalneighbor","0.706","0.848","0.318697807704325","0"
"287","Latetree","7","full","0.758","0.936","0.459008904713251","0.999999999999674"
"288","Latetree","7","threequarter","0.956","0.792","0.459008904713251","0"
"289","Latetree","7","half","0.98","0.928","0.459008904713251","0"
"290","Latetree","7","positiveloss","0.848","0.944","0.459008904713251","0"
"291","Latetree","7","ecologyloss","0.89","0.678","0.459008904713251","0"
