"","Tree","Repetition","Sample","pvalue_ecology","pvalue_clade","variance_trait"
"269","Latetree","5","ecologyloss","0.714","0.66","0.211010123547518"
"270","Latetree","5","horizontal10","0.658","0.792","0.211010123547518"
"271","Latetree","5","horizontal10clade","0.606","0.72","0.211010123547518"
"272","Latetree","5","horizontal10ecology","0.6","0.69","0.211010123547518"
"273","Latetree","5","horizontalnodes","0.658","0.786","0.211010123547518"
"274","Latetree","5","horizontalnodesecology","0.64","0.81","0.211010123547518"
"275","Latetree","5","horizontalneighbor","0.666","0.766","0.211010123547518"
"276","Latetree","6","full","0.3","0.298","0.623112026575452"
"277","Latetree","6","threequarter","0.414","0.472","0.623112026575452"
"278","Latetree","6","half","0.44","0.408","0.623112026575452"
"279","Latetree","6","positiveloss","0.286","0.322","0.623112026575452"
"280","Latetree","6","ecologyloss","0.374","0.594","0.623112026575452"
"281","Latetree","6","horizontal10","0.35","0.332","0.623112026575452"
"282","Latetree","6","horizontal10clade","0.314","0.438","0.623112026575452"
"283","Latetree","6","horizontal10ecology","0.296","0.444","0.623112026575452"
"284","Latetree","6","horizontalnodes","0.34","0.356","0.623112026575452"
"285","Latetree","6","horizontalnodesecology","0.294","0.322","0.623112026575452"
"286","Latetree","6","horizontalneighbor","0.308","0.478","0.623112026575452"
"287","Latetree","7","full","0.162","0.346","1.42496455455901"
"288","Latetree","7","threequarter","0.204","0.604","1.42496455455901"
"289","Latetree","7","half","0.414","0.768","1.42496455455901"
"290","Latetree","7","positiveloss","0.16","0.32","1.42496455455901"
"291","Latetree","7","ecologyloss","0.148","0.226","1.42496455455901"
"292","Latetree","7","horizontal10","0.216","0.398","1.42496455455901"
"293","Latetree","7","horizontal10clade","0.134","0.34","1.42496455455901"
"294","Latetree","7","horizontal10ecology","0.102","0.218","1.42496455455901"
"295","Latetree","7","horizontalnodes","0.174","0.382","1.42496455455901"
"296","Latetree","7","horizontalnodesecology","0.144","0.336","1.42496455455901"
"297","Latetree","7","horizontalneighbor","0.232","0.524","1.42496455455901"
"298","Latetree","8","full","0.596","0.53","0.288618539241594"
"299","Latetree","8","threequarter","0.71","0.686","0.288618539241594"
"300","Latetree","8","half","0.698","0.586","0.288618539241594"
"301","Latetree","8","positiveloss","0.862","0.422","0.288618539241594"
"302","Latetree","8","ecologyloss","0.622","0.686","0.288618539241594"
"303","Latetree","8","horizontal10","0.648","0.472","0.288618539241594"
"304","Latetree","8","horizontal10clade","0.532","0.548","0.288618539241594"
"305","Latetree","8","horizontal10ecology","0.484","0.66","0.288618539241594"
"306","Latetree","8","horizontalnodes","0.594","0.574","0.288618539241594"
"307","Latetree","8","horizontalnodesecology","0.668","0.982","0.288618539241594"
"308","Latetree","8","horizontalneighbor","0.502","0.556","0.288618539241594"
"309","Latetree","9","full","0.554","0.402","0.23853244811227"
"310","Latetree","9","threequarter","0.726","0.482","0.23853244811227"
"311","Latetree","9","half","0.79","0.558","0.23853244811227"
"312","Latetree","9","positiveloss","0.596","0.396","0.23853244811227"
"313","Latetree","9","ecologyloss","0.666","0.43","0.23853244811227"
"314","Latetree","9","horizontal10","0.678","0.466","0.23853244811227"
"315","Latetree","9","horizontal10clade","0.684","0.4","0.23853244811227"
"316","Latetree","9","horizontal10ecology","0.636","0.386","0.23853244811227"
"317","Latetree","9","horizontalnodes","0.608","0.59","0.23853244811227"
"318","Latetree","9","horizontalnodesecology","0.678","0.452","0.23853244811227"
"319","Latetree","9","horizontalneighbor","0.714","0.412","0.23853244811227"
"320","Latetree","10","full","0.978","0.108","0.688700833064808"
"321","Latetree","10","threequarter","0.858","0.224","0.688700833064808"
"322","Latetree","10","half","0.894","0.308","0.688700833064808"
"323","Latetree","10","positiveloss","0.946","0.146","0.688700833064808"
"324","Latetree","10","ecologyloss","0.91","0.214","0.688700833064808"
"325","Latetree","10","horizontal10","0.986","0.162","0.688700833064808"
"326","Latetree","10","horizontal10clade","0.798","0.1","0.688700833064808"
"327","Latetree","10","horizontal10ecology","0.95","0.17","0.688700833064808"
"328","Latetree","10","horizontalnodes","0.992","0.138","0.688700833064808"
"329","Latetree","10","horizontalnodesecology","0.946","0.182","0.688700833064808"
"330","Latetree","10","horizontalneighbor","0.918","0.162","0.688700833064808"
"331",NA,NA,NA,NA,NA,NA
