"","Tree","Repetition","Sample","pvalue_ecology","pvalue_clade","variance_trait"
"257","Earlytree","4","positiveloss","0.294","0.02","0.860400217319167"
"258","Earlytree","4","ecologyloss",NA,"0.144","0.860400217319167"
"259","Earlytree","4","horizontal10","0.28","0.024","0.860400217319167"
"260","Earlytree","4","horizontal10clade","0.208","0.00800000000000001","0.860400217319167"
"261","Earlytree","4","horizontal10ecology","0.17","0.028","0.860400217319167"
"262","Earlytree","4","horizontalnodes","0.194","0.004","0.860400217319167"
"263","Earlytree","4","horizontalnodesecology","0.21","0.00800000000000001","0.860400217319167"
"264","Earlytree","4","horizontalneighbor","0.348","0.016","0.860400217319167"
"265","Earlytree","5","full","0.138","0.44","0.757630914759967"
"266","Earlytree","5","threequarter","0.364","0.424","0.757630914759967"
"267","Earlytree","5","half","0.274","0.566","0.757630914759967"
"268","Earlytree","5","positiveloss","0.228","0.466","0.757630914759967"
"269","Earlytree","5","ecologyloss",NA,"0.576","0.757630914759967"
"270","Earlytree","5","horizontal10","0.224","0.602","0.757630914759967"
"271","Earlytree","5","horizontal10clade","0.13","0.342","0.757630914759967"
"272","Earlytree","5","horizontal10ecology","0.152","0.376","0.757630914759967"
"273","Earlytree","5","horizontalnodes","0.138","0.434","0.757630914759967"
"274","Earlytree","5","horizontalnodesecology","0.15","0.472","0.757630914759967"
"275","Earlytree","5","horizontalneighbor","0.232","0.572","0.757630914759967"
"276","Earlytree","6","full","0.644","0.22","0.722399098713808"
"277","Earlytree","6","threequarter","0.732","0.344","0.722399098713808"
"278","Earlytree","6","half","0.722","0.382","0.722399098713808"
"279","Earlytree","6","positiveloss","0.702","0.272","0.722399098713808"
"280","Earlytree","6","ecologyloss",NA,"0.426","0.722399098713808"
"281","Earlytree","6","horizontal10","0.78","0.28","0.722399098713808"
"282","Earlytree","6","horizontal10clade","0.74","0.264","0.722399098713808"
"283","Earlytree","6","horizontal10ecology","0.762","0.176","0.722399098713808"
"284","Earlytree","6","horizontalnodes","0.66","0.254","0.722399098713808"
"285","Earlytree","6","horizontalnodesecology","0.714","0.216","0.722399098713808"
"286","Earlytree","6","horizontalneighbor","0.742","0.432","0.722399098713808"
"287","Earlytree","7","full","0.22","0.766","0.710433479222692"
"288","Earlytree","7","threequarter","0.506","0.816","0.710433479222692"
"289","Earlytree","7","half","0.234","0.936","0.710433479222692"
"290","Earlytree","7","positiveloss","0.178","0.622","0.710433479222692"
"291","Earlytree","7","ecologyloss",NA,"0.942","0.710433479222692"
"292","Earlytree","7","horizontal10","0.24","0.77","0.710433479222692"
"293","Earlytree","7","horizontal10clade","0.244","0.738","0.710433479222692"
"294","Earlytree","7","horizontal10ecology","0.196","0.828","0.710433479222692"
"295","Earlytree","7","horizontalnodes","0.21","0.836","0.710433479222692"
"296","Earlytree","7","horizontalnodesecology","0.174","0.874","0.710433479222692"
"297","Earlytree","7","horizontalneighbor","0.318","0.764","0.710433479222692"
"298","Earlytree","8","full","0.554","0.122","0.649967280639237"
"299","Earlytree","8","threequarter","0.876","0.358","0.649967280639237"
"300","Earlytree","8","half","0.464","0.184","0.649967280639237"
"301","Earlytree","8","positiveloss","0.61","0.114","0.649967280639237"
"302","Earlytree","8","ecologyloss",NA,"0.366","0.649967280639237"
"303","Earlytree","8","horizontal10","0.462","0.116","0.649967280639237"
"304","Earlytree","8","horizontal10clade","0.628","0.114","0.649967280639237"
"305","Earlytree","8","horizontal10ecology","0.606","0.158","0.649967280639237"
"306","Earlytree","8","horizontalnodes","0.692","0.154","0.649967280639237"
"307","Earlytree","8","horizontalnodesecology","0.588","0.128","0.649967280639237"
"308","Earlytree","8","horizontalneighbor","0.712","0.198","0.649967280639237"
"309","Earlytree","9","full","0.486","0.186","0.713161391134769"
"310","Earlytree","9","threequarter","0.732","0.54","0.713161391134769"
"311","Earlytree","9","half","0.54","0.17","0.713161391134769"
"312","Earlytree","9","positiveloss","0.528","0.196","0.713161391134769"
"313","Earlytree","9","ecologyloss",NA,"0.506","0.713161391134769"
"314","Earlytree","9","horizontal10","0.556","0.242","0.713161391134769"
"315","Earlytree","9","horizontal10clade","0.496","0.134","0.713161391134769"
"316","Earlytree","9","horizontal10ecology","0.46","0.206","0.713161391134769"
"317","Earlytree","9","horizontalnodes","0.476","0.198","0.713161391134769"
"318","Earlytree","9","horizontalnodesecology","0.49","0.192","0.713161391134769"
"319","Earlytree","9","horizontalneighbor","0.654","0.25","0.713161391134769"
"320","Earlytree","10","full","0.382","0.012","0.855810690601013"
"321","Earlytree","10","threequarter","0.548","0.098","0.855810690601013"
"322","Earlytree","10","half","0.504","0.132","0.855810690601013"
"323","Earlytree","10","positiveloss","0.344","0.032","0.855810690601013"
"324","Earlytree","10","ecologyloss",NA,"0.204","0.855810690601013"
"325","Earlytree","10","horizontal10","0.424","0.024","0.855810690601013"
"326","Earlytree","10","horizontal10clade","0.358","0.016","0.855810690601013"
"327","Earlytree","10","horizontal10ecology","0.34","0.024","0.855810690601013"
"328","Earlytree","10","horizontalnodes","0.458","0.018","0.855810690601013"
"329","Earlytree","10","horizontalnodesecology","0.408","0.028","0.855810690601013"
"330","Earlytree","10","horizontalneighbor","0.614","0.054","0.855810690601013"
"331","Latetree","1","full","0.494","0.208","0.820722152403902"
"332","Latetree","1","threequarter","0.552","0.366","0.820722152403902"
"333","Latetree","1","half","0.596","0.562","0.820722152403902"
"334","Latetree","1","positiveloss","0.44","0.17","0.820722152403902"
"335","Latetree","1","ecologyloss",NA,"0.582","0.820722152403902"
"336","Latetree","1","horizontal10","0.592","0.336","0.820722152403902"
"337","Latetree","1","horizontal10clade","0.376","0.194","0.820722152403902"
"338","Latetree","1","horizontal10ecology","0.468","0.188","0.820722152403902"
"339","Latetree","1","horizontalnodes","0.534","0.0800000000000001","0.820722152403902"
"340","Latetree","1","horizontalnodesecology","0.474","0.216","0.820722152403902"
"341","Latetree","1","horizontalneighbor","0.548","0.38","0.820722152403902"
"342","Latetree","2","full","0.33","0.046","0.590727989830504"
"343","Latetree","2","threequarter","0.52","0.194","0.590727989830504"
"344","Latetree","2","half","0.418","0.262","0.590727989830504"
"345","Latetree","2","positiveloss","0.302","0.07","0.590727989830504"
"346","Latetree","2","ecologyloss",NA,"0.222","0.590727989830504"
"347","Latetree","2","horizontal10","0.506","0.086","0.590727989830504"
"348","Latetree","2","horizontal10clade","0.276","0.06","0.590727989830504"
"349","Latetree","2","horizontal10ecology","0.336","0.056","0.590727989830504"
"350","Latetree","2","horizontalnodes","0.376","0.068","0.590727989830504"
"351","Latetree","2","horizontalnodesecology","0.348","0.052","0.590727989830504"
"352","Latetree","2","horizontalneighbor","0.358","0.122","0.590727989830504"
"353","Latetree","3","full","0.386","0.002","0.659845146103415"
"354","Latetree","3","threequarter","0.55","0.042","0.659845146103415"
"355","Latetree","3","half","0.466","0.03","0.659845146103415"
"356","Latetree","3","positiveloss","0.382","0.002","0.659845146103415"
"357","Latetree","3","ecologyloss",NA,"0.0600000000000001","0.659845146103415"
"358","Latetree","3","horizontal10","0.486","0.00800000000000001","0.659845146103415"
"359","Latetree","3","horizontal10clade","0.354","0.00600000000000001","0.659845146103415"
"360","Latetree","3","horizontal10ecology","0.392","0.002","0.659845146103415"
"361","Latetree","3","horizontalnodes","0.4","0.002","0.659845146103415"
"362","Latetree","3","horizontalnodesecology","0.344","0.004","0.659845146103415"
"363","Latetree","3","horizontalneighbor","0.53","0.001","0.659845146103415"
"364","Latetree","4","full","0.428","0.002","0.337902223601557"
"365","Latetree","4","threequarter","0.782","0.0640000000000001","0.337902223601557"
"366","Latetree","4","half","0.588","0.044","0.337902223601557"
"367","Latetree","4","positiveloss","0.448","0.002","0.337902223601557"
"368","Latetree","4","ecologyloss",NA,"0.042","0.337902223601557"
"369","Latetree","4","horizontal10","0.54","0.00800000000000001","0.337902223601557"
"370","Latetree","4","horizontal10clade","0.448","0.00600000000000001","0.337902223601557"
"371","Latetree","4","horizontal10ecology","0.454","0.012","0.337902223601557"
"372","Latetree","4","horizontalnodes","0.444","0.004","0.337902223601557"
